base_id,input_url,base,found,resolved_url,resolved_ext,detected_kind,content_type,http_status,note
EFTA00028842,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028842.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028842,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028842.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00028983,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028983.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028983,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00028983.mp3,mp3,audio,audio/mpeg,206,ok via .mp3
EFTA00029272,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029272.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029272,False,,,,,,gated_or_rate_limited (html streak)
EFTA00029480,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029480.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029480,False,,,,,,gated_or_rate_limited (html streak)
EFTA00029995,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029995.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029995,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029995.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00029996,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029996.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029996,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029996.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00029997,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029997.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029997,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029997.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00029998,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029998.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029998,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00029998.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00032989,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032989.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032989,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032989.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033003,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033003.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033003,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033003.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033004,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033004.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033004,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033004.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033006,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033006.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033006,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033006.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033007,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033007.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033007,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033007.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033008,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033008.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033008,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033008.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033009,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033009.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033009,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033009.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033010,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033010.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033010,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033010.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033012,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033012.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033012,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033012.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033013,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033013.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033013,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033013.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033015,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033015.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033015,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033015.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033018,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033018.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033018,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033018.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033019,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033019.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033019,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033019.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033022,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033022.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033022,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033022.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033023,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033023.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033023,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033023.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033024,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033024.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033024,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033024.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033025,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033025.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033025,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033025.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033026,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033026.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033026,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033026.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033027,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033027.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033027,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033027.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
